id,name,full_name,,repo_name,created_at,updated_at,pushed_at,stargazers_count,has_issues,has_projects,has_downloads,has_wiki,has_pages,forks_count,mirror_url,open_issues_count,Commit,Branch,Release,Contributor,License,owner_id,owner_login,location
40483745,accounting,leekchan,accounting,leekchan/accounting,2015-08-10T13:23:56Z,2017-09-06T15:54:04Z,2017-07-19T05:46:16Z,309,TRUE,TRUE,TRUE,TRUE,FALSE,14,,1,33,2,2,2,MIT,,,Korea
15964309,angular-summernote,summernote,angular-summernote,summernote/angular-summernote,2014-01-16T10:04:35Z,2017-09-09T08:43:20Z,2017-05-10T08:39:27Z,308,TRUE,TRUE,TRUE,FALSE,FALSE,112,,71,183,1,21,15,MIT,,,Korea
3144293,trueskill,sublee,trueskill,sublee/trueskill,2012-01-10T10:06:31Z,2017-08-18T11:06:02Z,2017-04-23T12:11:22Z,307,TRUE,TRUE,TRUE,FALSE,TRUE,36,,3,232,3,6,2,MIT,,,Korea
84613303,YNExpandableCell,younatics,YNExpandableCell,younatics/YNExpandableCell,2017-03-11T00:56:17Z,2017-09-09T21:01:30Z,2017-09-09T11:27:14Z,307,TRUE,TRUE,TRUE,TRUE,FALSE,23,,1,125,2,15,2,MIT,,,Korea
25148471,awesome-sphinxdoc,yoloseem,awesome-sphinxdoc,yoloseem/awesome-sphinxdoc,2014-10-13T07:36:19Z,2017-09-10T09:25:50Z,2017-08-10T05:44:46Z,302,TRUE,TRUE,TRUE,TRUE,FALSE,26,,2,98,1,0,12,MIT,,,Korea
84812790,StickySwitch,GwonHyeok,StickySwitch,GwonHyeok/StickySwitch,2017-03-13T10:18:01Z,2017-09-09T02:18:05Z,2017-09-01T07:25:25Z,295,TRUE,TRUE,TRUE,TRUE,FALSE,49,,3,66,1,12,2,MIT,,,Korea
67399212,sugartensor,buriburisuri,sugartensor,buriburisuri/sugartensor,2016-09-05T07:46:06Z,2017-09-08T21:00:46Z,2017-06-18T23:33:47Z,295,TRUE,TRUE,TRUE,TRUE,TRUE,38,,23,127,3,17,5,MIT,,,Korea
45672765,FishBun,sangcomz,FishBun,sangcomz/FishBun,2015-11-06T09:34:25Z,2017-09-01T02:24:01Z,2017-09-06T16:05:11Z,292,TRUE,TRUE,TRUE,TRUE,TRUE,58,,24,384,8,11,6,Apache-2.0,,,Korea
78282173,highlight,taggon,highlight,taggon/highlight,2017-01-07T14:01:15Z,2017-09-05T17:27:09Z,2017-07-19T05:20:51Z,279,TRUE,TRUE,TRUE,TRUE,FALSE,8,,4,49,1,4,2,MIT,,,Korea
81933178,vue2-admin-lte,devjin0617,vue2-admin-lte,devjin0617/vue2-admin-lte,2017-02-14T10:20:16Z,2017-09-09T10:28:01Z,2017-07-22T10:08:38Z,276,TRUE,TRUE,TRUE,TRUE,TRUE,69,,13,212,2,14,3,MIT,,,Korea
